Question ID,Row Label,Column Label,Question Text,Status,First Year,Last Year,Description Count
01.1,Competitively awarded internal grants,,Inclusion of Institution funds,New / Added,20122012,20242024,1
01.1,Competitively awarded internal grants,FY 2011,Inclusion of Institution funds,Intermittent,20122012,20122012,1
01.1,Other departmental funds,,Inclusion of Institution funds,New / Added,20122012,20242024,1
01.1,Other departmental funds,FY 2011,Inclusion of Institution funds,Intermittent,20122012,20122012,1
01.1,"Startup packages, bridge funding, seed funding",,Inclusion of Institution funds,New / Added,20122012,20242024,1
01.1,"Startup packages, bridge funding, seed funding",FY 2011,Inclusion of Institution funds,Intermittent,20122012,20122012,1
01.1,Tuition assistance for student research personnel,,Inclusion of Institution funds,New / Added,20122012,20242024,1
01.1,Tuition assistance for student research personnel,FY 2011,Inclusion of Institution funds,Intermittent,20122012,20122012,1
01.a,Federal government,,Source,Consistent,20102010,20242024,1
01.b,State and local government,,Source,Consistent,20102010,20242024,1
01.c,Business,,Source,Consistent,20102010,20242024,1
01.d,Nonprofit organizations,,Source,Consistent,20102010,20242024,1
01.e,Institution funds,,Source,Consistent,20102010,20242024,1
01.f,All other sources,,Source,Consistent,20102010,20242024,1
01.g,Total,,Source,Consistent,20102010,20242024,1
02.a,Foreign governments,,Foreign funds,New / Added,20162016,20242024,1
02.b,Foreign businesses,,Foreign funds,New / Added,20162016,20242024,1
02.c,Foreign nonprofit organizations,,Foreign funds,New / Added,20162016,20242024,1
02.d,Foreign higher education institutions,,Foreign funds,New / Added,20162016,20242024,1
02.e,Other foreign sources,,Foreign funds,New / Added,20162016,20242024,1
02.f,Total,,Foreign funds,Consistent,20102010,20242024,1
03,Contracts,,Externally financed,Consistent,20102010,20242024,1
03,"Grants, reimbursements, and other agreements",,Externally financed,Consistent,20102010,20242024,1
03,Total,,Externally financed,Consistent,20102010,20242024,1
04,Total,,Medical school expenditures,Consistent,20102010,20242024,1
05,Federal,,Clinical trials,Consistent,20102010,20242024,1
05,Nonfederal,,Clinical trials,Consistent,20102010,20242024,1
05,Total,,Clinical trials,Consistent,20102010,20242024,1
05.1,Federal,,Inclusion of clinical trials in FY 2009 report,Removed,20102010,20102010,1
05.1,Nonfederal,,Inclusion of clinical trials in FY 2009 report,Removed,20102010,20102010,1
06.a,Basic research,Federal,Type of R&D conducted,Consistent,20102010,20242024,1
06.a,Basic research,Nonfederal,Type of R&D conducted,Consistent,20102010,20242024,1
06.a,Basic research,Total,Type of R&D conducted,Consistent,20102010,20242024,1
06.b,Applied research,Federal,Type of R&D conducted,Consistent,20102010,20242024,1
06.b,Applied research,Nonfederal,Type of R&D conducted,Consistent,20102010,20242024,1
06.b,Applied research,Total,Type of R&D conducted,Consistent,20102010,20242024,1
06.c,Development,Federal,Type of R&D conducted,Consistent,20102010,20242024,1
